age_category,predicted_happy_cause,hmid_count
child,achievement,248
child,family,179
child,food,30
child,entertainment,26
child,exercise,17
elder,family,491
elder,achievement,427
elder,food,60
elder,exercise,42
elder,nature,34
late_adult,family,3892
late_adult,achievement,3311
late_adult,food,545
late_adult,nature,379
late_adult,pet,281
mid_adult,family,15042
mid_adult,achievement,13635
mid_adult,food,2476
mid_adult,exercise,1452
mid_adult,entertainment,1346
other,family,67
other,achievement,35
other,affection,17
other,food,6
other,exercise,4
young_adult,achievement,16337
young_adult,family,15577
young_adult,food,2829
young_adult,exercise,1833
young_adult,entertainment,1621
